Elapsed Time,1-instances-per-model-batch-1-time-2000,1-instances-per-model-batch-3-time-2000,1-instances-per-model-batch-5-time-2000,2-instances-per-model-batch-1-time-2000,2-instances-per-model-batch-3-time-2000,2-instances-per-model-batch-5-time-2000,3-instances-per-model-batch-1-time-2000,3-instances-per-model-batch-3-time-2000,3-instances-per-model-batch-5-time-2000,4-instances-per-model-batch-1-time-2000,4-instances-per-model-batch-3-time-2000,4-instances-per-model-batch-5-time-2000
67192.0,,,,3.409,,,,,,,,
67303.0,,,,,,,,,,,,12.093
67304.0,,,,,,,,,,,,12.092
67306.0,,,,,,,,,,,,12.091
67335.0,,12.014,,,,,,,,,,
67337.0,,18.439,,,,,,,,,,
67338.0,,12.011,,,,,,,,,,
67386.0,,,14.018,,,,,,,,,
67388.0,,,14.016,,,,,,,,,
67390.0,,,14.015,,,,,,,,,
67447.0,,,,,7.771,,,,,,,
67448.0,,,,,7.77,,,,,,,
67450.0,,,,,5.604,,,,,,,
67761.0,,,,,,,,7.983,,,,
67762.0,,,,,,,,9.926,,,,
67765.0,,,,,,,,5.829,,,,
67828.0,21.195,,,,,,,,,,,
67958.0,,,,,,,,,,,8.177,
67959.0,,,,,,,7.479,,,,,
67960.0,,,,,,,,,,,8.175,
67965.0,,,,,,,,,,,8.17,
67966.0,,,,,,,,,,,5.703,
68067.0,,,,,,8.153,,,,,,
68248.0,,,,4.375,,,,,,,,
68625.0,,,,,11.293,,,,,,,
68627.0,,,,,11.291,,,,,,,
68628.0,,,,,11.29,,,,,,,
68693.0,,17.083,,,,,,,,,,
68743.0,,,,,,,,,,,,9.69
68804.0,,,16.44,,,,,,,,,
68884.0,,,,,,,7.473,,,,,
69344.0,,,,6.549,,,,,,,,
69808.0,,,,,,,7.47,,,,,
70017.0,,,,,,,,,,5.937,,
70035.0,,,,,,,,,,6.8485,,
70397.0,21.289,,,,,,,,,,,
70507.0,,,,,,,,,,,8.599333333333334,
70518.0,,,,,,9.853,,,,,,
70600.0,,,,4.168,,,,,,,,
70717.0,,,,,,,,7.1419999999999995,,,,
70724.0,,,,,,,7.58,,,,,
71749.0,,,,,,,7.476,,,,,
71908.0,,,,6.652,,,,,,,,
71964.0,,,,,,,,,,5.936,,
72671.0,,,,,,,7.442,,,,,
72986.0,,,,,,,,,,5.939,,
73049.0,21.296,,,,,,,,,,,
73057.0,,,,,6.523,,,,,,,
73061.0,,,16.0235,,,,,,,,,
73306.0,,16.513666666666666,,,,,,,,,,
73338.0,,,,4.195,,,,,,,,
73593.0,,,,,,,7.476,,,,,
